"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-10"",5.665,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-11"",5.599545,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2006-12"",5.696579,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-01"",5.877619,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-02"",5.80925,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-03"",5.736818,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-04"",5.909722,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-05"",5.920869,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-06"",6.20475,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-07"",6.149773,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-08"",5.925909,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-09"",5.992105,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-10"",6.174348,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-11"",6.025455,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2007-12"",6.207632,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-01"",6.076428,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2008-02"",6.294524,"
